id,category,tripleset_size,tripleset,lexicalisations,prediction_gpt-3.5-turbo-0613,bleu_nltk_gpt-3.5-turbo-0613,meteor_gpt-3.5-turbo-0613,execution_time_gpt-3.5-turbo-0613
288,CelestialBody,2,"[{'object': '1929-06-11', 'property': 'discovered', 'subject': '1147_Stavropolis'}, {'object': '260855000000.0', 'property': 'periapsis', 'subject': '1147_Stavropolis'}]","['1147 Stavropolis, discovered on June 11, 1929, has a periapsis of 260855000000.0.', '1147 Stavropolis is an asteroid, discovered on 11 June 1929, and its periapsis is 260855000000.0.', 'The asteroid 1147 Stavropolis was discovered on the 11th of June, 1929 and has a periapsis of 260855000000.']","The object 1147_Stavropolis was discovered on June 11, 1929. It has a periapsis of 260,855,000,000.0.",0.38233014078302996,0.6453252032520325,1.4292099475860596
289,ComicsCharacter,3,"[{'object': 'Bill_Oddie', 'property': 'starring', 'subject': 'Bananaman'}, {'object': 'BBC', 'property': 'broadcastedBy', 'subject': 'Bananaman'}, {'object': 'London', 'property': 'city', 'subject': 'BBC'}]","['Bananaman starring Bill Oddie is broadcast by the BBC, which is located in London.', 'The BBC, which is located in London, broadcasted Bananaman which starred Billie Oddie.', 'Bananaman the TV series starring Bill Oddie was shown on the BBC and BBC is located in London.']",Bananaman stars Bill Oddie. Bananaman is broadcasted by BBC. BBC is a city in London.,0.09346500399980011,0.5835741178530777,1.1231029033660889
290,Scientist,3,"[{'object': 'Stochastic_programming', 'property': 'knownFor', 'subject': 'Darinka_Dentcheva'}, {'object': 'Humboldt_University', 'property': 'almaMater', 'subject': 'Darinka_Dentcheva'}, {'object': 'New_Jersey', 'property': 'residence', 'subject': 'Darinka_Dentcheva'}]","['Darinka Dentcheva is known for her work with stochastic programming where she has a residence in the state of New Jersey and her alma mater is Humboldt University.', 'Darinka Dentcheva, a graduate of Humboldt University, is known for her work with stochastic programming and currently resides in New Jersey.', 'Humboldt University is the alma mater of Darinka Dentcheva who resides in New Jersey and is known for Stochastic programming.']",Darinka Dentcheva is known for stochastic programming. She studied at Humboldt University. She resides in New Jersey.,0.34075630256269734,0.5449511264001342,1.1340115070343018
291,Airport,2,"[{'object': 'Bedford_Autodrome', 'property': 'cityServed', 'subject': 'Bedford_Aerodrome'}, {'object': 'EGBF', 'property': 'icaoLocationIdentifier', 'subject': 'Bedford_Aerodrome'}]","['The ICAO location identifier for Bedford Aerodrome is EGBF and it has served the Bedford Autodrome.', ""Bedford Aerodrome's International Civil Aviation Organization (ICAO) identifier is EGBF and serves the Bedford Autodrome."", 'The ICAO location identifier for the Bedford Aerodrome is EGBF and the aerodrome serves the Bedford Autodrome.']",Bedford Aerodrome is served by Bedford Autodrome. Bedford Aerodrome has the ICAO location identifier EGBF.,0.2024205959329982,0.5288272333726879,1.2182283401489258
292,Artist,4,"[{'object': 'Post-metal', 'property': 'genre', 'subject': 'Aaron_Turner'}, {'object': 'Massachusetts', 'property': 'origin', 'subject': 'Aaron_Turner'}, {'object': 'Twilight_(band)', 'property': 'associatedBand/associatedMusicalArtist', 'subject': 'Aaron_Turner'}, {'object': 'Electric_guitar', 'property': 'instrument', 'subject': 'Aaron_Turner'}]","['Aaron Turner was born in Massachusetts and is a post metal musician who plays electric guitar and played with the band Twilight.', 'Aaron Turner is a performer of post metal and is originally from Massachusetts. He plays the electric guitar and also played with the band Twilight.', 'In the past, Massachusetts-born post-metal electric guitarist Aaron Turner played with the band Twilight.']",Aaron Turner is associated with the genre Post-metal. He is from Massachusetts. He is associated with the band Twilight. He plays the electric guitar.,0.27326653732219497,0.45979837718219824,1.334139108657837
293,Scientist,4,"[{'object': 'Andrzej_Piotr_Ruszczyński', 'property': 'influencedBy', 'subject': 'Darinka_Dentcheva'}, {'object': 'United_States', 'property': 'citizenship', 'subject': 'Darinka_Dentcheva'}, {'object': '1958-01-01', 'property': 'birthDate', 'subject': 'Darinka_Dentcheva'}, {'object': 'Humboldt_University', 'property': 'almaMater', 'subject': 'Darinka_Dentcheva'}]","['Darinka Dentcheva (United States citizen) with birthdate as January 1, 1958 studied at Humboldt University. Her theory was influenced by Andrzej Piotr Ruszczyński.', 'Darinka Dentcheva, a United States citizen who was born on January 1st, 1958 had Humboldt University as her alma mater. He was influenced by Andrzej Piotr Ruszczynski.', 'Darinka Dentcheva was born on 1st January 1958 and was the citizen of the United States. She attended Humboldt University and was influenced by Andrzej Piotr Ruszczynski.']","Darinka Dentcheva was influenced by Andrzej Piotr Ruszczyński. She holds citizenship in the United States. Darinka Dentcheva was born on January 1, 1958. She attended Humboldt University as her alma mater.",0.5556782262215243,0.6280976840587547,1.741274118423462
294,City,4,"[{'object': 'Mexico', 'property': 'country', 'subject': 'Ciudad_Ayala'}, {'object': '61.0', 'property': 'populationDensity', 'subject': 'Mexico'}, {'object': 'Pacific_Daylight_Time', 'property': 'timeZone', 'subject': 'Ciudad_Ayala'}, {'object': 'Pacific_Standard_Time_Zone', 'property': 'timeZone', 'subject': 'Ciudad_Ayala'}]","['Ciudad Ayala is located in the Pacific Daylight and in the Pacific standard Time Zone. It is a city in Mexico and has a population density of 61.0.', 'Ciudad Ayala is a city in Mexico, a country with 61 people per square kilometre. Ciudad Ayala is in the Pacific Standard Time Zone and in Pacific Daylight Time when daylight saving time is being observed.', 'Ciudad Ayala, Mexico (population density 61.0) is located in the Pacific Time Zone (PST or PDT).']",Ciudad Ayala is a city in Mexico. It has a population density of 61.0. The city follows the Pacific Daylight Time and is also in the Pacific Standard Time Zone.,0.5164772558767436,0.8100928388494877,2.555563449859619
295,Politician,3,"[{'object': 'Casey_Ribicoff', 'property': 'spouse', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'United_States', 'property': 'deathPlace', 'subject': 'Abraham_A._Ribicoff'}, {'object': 'United_States', 'property': 'birthPlace', 'subject': 'Abraham_A._Ribicoff'}]","['Abraham A. Ribicoff was born and died in the United States of America. His wife is called Casey Ribicoff.', 'Abraham A Ribicoff was born and died in the United States and his wife is Casey Ribicoff.', 'Abraham A. Ribicoff was born and died in the United States. During his life he was married to Casey Ribicoff.']",Abraham A. Ribicoff was married to Casey Ribicoff. He was born in the United States and died in the United States.,0.6286904510105588,0.8350117922498235,1.2184910774230957
296,MusicalWork,5,"[{'object': '35.1', 'property': 'runtime', 'subject': 'Turn_Me_On_(album)'}, {'object': 'The_Honeymoon_Killers_(American_band)', 'property': 'artist', 'subject': 'Turn_Me_On_(album)'}, {'object': 'Punk_blues', 'property': 'genre', 'subject': 'Turn_Me_On_(album)'}, {'object': 'The_Honeymoon_Killers_(American_band)', 'property': 'producer', 'subject': 'Turn_Me_On_(album)'}, {'object': 'Noise_rock', 'property': 'genre', 'subject': 'Turn_Me_On_(album)'}]","['The run time of the album Turn Me On is 35.1 minutes where the artist is the Honeymoon Killers with punk blues as the genre. Turn Me On album is self-produced by the American band Honeymoon Killers with noise rock as the genre of the album.', 'Turn Me On is a punk blues album produced by The Honeymoon Killers that has run time of 35.1 minutes. The genre of the Turn Me On album is noise rock.', 'The punk blues album Turn Me On is an example of noise rock. It is by the American band The Honeymoon Killers who also produced the album. It is 35 minutes and 10 seconds in length.']","""Turn Me On"" is an album with a runtime of 35.1 minutes. It is performed by the American band The Honeymoon Killers. The album falls under the genres of punk blues and noise rock. The producer of the album is also The Honeymoon Killers.",0.20972549147826833,0.4776998518705728,2.1584434509277344
297,Airport,5,"[{'object': 'ENAIRE', 'property': 'operatingOrganisation', 'subject': 'Adolfo_Suárez_Madrid–Barajas_Airport'}, {'object': 'Alcobendas', 'property': 'location', 'subject': 'Adolfo_Suárez_Madrid–Barajas_Airport'}, {'object': '3500.0', 'property': 'runwayLength', 'subject': 'Adolfo_Suárez_Madrid–Barajas_Airport'}, {'object': '610.0', 'property': 'elevationAboveTheSeaLevel', 'subject': 'Adolfo_Suárez_Madrid–Barajas_Airport'}, {'object': '""18L/36R""', 'property': 'runwayName', 'subject': 'Adolfo_Suárez_Madrid–Barajas_Airport'}]","['The Adolfo Suárez Madrid–Barajas Airport in Alcobendas is operated by ENAIRE and is 610m above sea level. It has a runway length of 3,500 and the runway name is 18L/36R.', 'Adolfo Suarez Madrid-Barajas Airport in Alcobendas is operated by ENAIRE from Madrid. The runway length is 3500 and the airport has an elevation of 610.0 metres above sea level. The runway name of the airport is 18L/36R.', 'ENAIRE is the operating organisation for Adolfo Suarez Madrid-Barajas airport which is found in Alcobendas. The runway, which is called 18L/36R, has a length of 3500 and is 610 metres above sea level.']","Adolfo Suárez Madrid–Barajas Airport is operated by ENAIRE. It is located in Alcobendas. The runway length is 3500.0 meters and the elevation above sea level is 610.0 meters. The runway name is ""18L/36R"".",0.27957677824721117,0.6051567656765676,2.13417649269104
298,University,3,"[{'object': 'Visvesvaraya_Technological_University', 'property': 'affiliation', 'subject': 'Acharya_Institute_of_Technology'}, {'object': 'Tennis', 'property': 'sportsOffered', 'subject': 'Acharya_Institute_of_Technology'}, {'object': 'Bangalore', 'property': 'city', 'subject': 'Acharya_Institute_of_Technology'}]","['Bangalore‘s Acharya Institute of Technology (affiliated with Visvesvaraya Technological University) has a tennis program.', 'Tennis is offered at the Bangalore-based Acharya Institute of Technology, a college affiliated with Visvesvaraya Technological University.', 'The Acharya Institute of Technology in Bangalore, is affiliated with the Visvesvaraya Technological University and offers tennis as a sport option.']",Acharya Institute of Technology is affiliated with Visvesvaraya Technological University. It offers Tennis as a sport and is located in Bangalore.,0.3970527469003997,0.7300037202380952,1.3198823928833008
299,Food,4,"[{'object': 'Mexican_peso', 'property': 'currency', 'subject': 'Mexico'}, {'object': 'Dessert', 'property': 'course', 'subject': 'Bionico'}, {'object': 'Raisin', 'property': 'ingredient', 'subject': 'Bionico'}, {'object': 'Mexico', 'property': 'country', 'subject': 'Bionico'}]","['Bionico is a dish served for dessert, which contains raisins and is found in Mexico. The currency in Mexico is the Mexican peso.', 'Bionico is a food found in Mexico which contains raisins and is served as a dessert. The local currency in Mexico is the peso.', 'Bionico is a dessert which contains raisins. It is found in Mexico where the local currency is the peso.']",Mexico uses the Mexican peso as its currency. Bionico is a dessert that is typically served in Mexico. Raisin is an ingredient used in Bionico. Bionico is associated with Mexico as it is a country.,0.1062251311026331,0.3744681891535038,2.040778875350952
300,University,1,"[{'object': '16800', 'property': 'numberOfUndergraduateStudents', 'subject': 'University_of_Burgundy'}]","['The University of Burgundy has 16,800 undergraduate students.', 'There are 16800 undergraduate students at the University of Burgundy.', 'The University of Burgundy has 16800 undergraduate students.']","The University of Burgundy has 16,800 undergraduate students.",1.0,0.9990234375,0.8189036846160889
301,SportsTeam,6,"[{'object': 'Arapiraca', 'property': 'location', 'subject': 'Estádio_Municipal_Coaracy_da_Mata_Fonseca'}, {'object': 'Campeonato_Brasileiro_Série_C', 'property': 'league', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': '2015', 'property': 'season', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': 'Vila_Nova_Futebol_Clube', 'property': 'champions', 'subject': 'Campeonato_Brasileiro_Série_C'}, {'object': 'Brazil', 'property': 'country', 'subject': 'Campeonato_Brasileiro_Série_C'}, {'object': 'Estádio_Municipal_Coaracy_da_Mata_Fonseca', 'property': 'ground', 'subject': 'Agremiação_Sportiva_Arapiraquense'}]","['Estádio Municipal Coaracy da Mata Fonseca is a sports ground which is based in Arapiraca and used by the team Agremiação Sportiva Arapiraquense. Agremiação Sportiva Arapiraquense played in the 2015 season of the Brazil based Campeonato Brasileiro Série C league. Vila Nova Futebol Clube have been previous champions of the Campeonato Brasileiro Série C league.', 'In 2015, Agremiação Sportiva Arapiraquense, whose ground is the Estadio Municipal Coaracy da Mata Fonseca in Arapiraca, played in the Brazilian-based Campeonato Brasileiro Série C league. Vila Nova Futebol Clube are the champions of Campeonato Brasileiro Serie C.', 'The Vila Nova Futebol Clube were champions at the Campeonato Brasileiro Serie C from Brazil. Agremiacao Sportiva Arapiraquense also played there in the 2015 season; their ground is Estadio Municipal Coaracy da Mata Fonseca located in Arapiraca.']",The Estádio Municipal Coaracy da Mata Fonseca is located in Arapiraca. The Agremiação Sportiva Arapiraquense participates in the Campeonato Brasileiro Série C league. The league took place in 2015. The Vila Nova Futebol Clube became the champions of the Campeonato Brasileiro Série C. The league is held in Brazil. The Agremiação Sportiva Arapiraquense plays their home matches at the Estádio Municipal Coaracy da Mata Fonseca.,0.3387005048966146,0.6273390458883921,3.791449785232544
302,Scientist,3,"[{'object': '1726-01-01', 'property': 'birthDate', 'subject': 'Lady_Anne_Monson'}, {'object': 'Kingdom_of_England', 'property': 'nationality', 'subject': 'Lady_Anne_Monson'}, {'object': 'Botany', 'property': 'professionalField', 'subject': 'Lady_Anne_Monson'}]","['Lady Anne Monson, born on January 1, 1726 in the Kingdom of England, studied botany.', 'Lady Anne Monson, born January 1st, 1726, was a British woman who lived in England. Her professional field of study was botany.', 'Lady Anne Monson, who was born on January 1, 1726 in England, was a professional botanist.']","Lady Anne Monson was born on January 1, 1726. She was a national of the Kingdom of England and her professional field was botany.",0.2619087743398409,0.608805031446541,1.537501573562622
303,Artist,4,"[{'object': 'Karlsruhe', 'property': 'birthPlace', 'subject': 'Liselotte_Grschebina'}, {'object': 'Israel', 'property': 'deathPlace', 'subject': 'Liselotte_Grschebina'}, {'object': 'Israel', 'property': 'nationality', 'subject': 'Liselotte_Grschebina'}, {'object': 'German_Empire', 'property': 'birthPlace', 'subject': 'Liselotte_Grschebina'}]","['Liselotte Grschebina is an Israeli national. She was born in Karlsruhe in the German Empire and died in Israel.', 'Liselotte Grschebina, born in Karlsruhe in the German Empire, is of Israeli nationality. She died in Israel.', 'Liselotte Grschebina, of Israeli nationality, was born within the German Empire, in Karlsruhe, and died in Israel.']","Liselotte Grschebina was born in Karlsruhe, German Empire. She later died in Israel and held Israeli nationality.",0.16164754085176194,0.4873529411764706,1.2184686660766602
304,University,1,"[{'object': '27400', 'property': 'numberOfStudents', 'subject': 'University_of_Burgundy'}]","['There are 27400 students at the University of Burgundy.', 'The number of students in the University of Burgundy is 27400.', 'The University of Burgundy has 27400 students.']","The University of Burgundy has a total of 27,400 students.",0.42728700639623407,0.700152207001522,0.9176220893859864
305,Astronaut,2,"[{'object': '""Retired""', 'property': 'status', 'subject': 'Buzz_Aldrin'}, {'object': 'Apollo_11', 'property': 'mission', 'subject': 'Buzz_Aldrin'}]","['Buzz Aldrin was a crew member of Apollo 11,he is retired.', 'Buzz Aldrin (now retired) was an Apollo 11 crew member.', 'Buzz Aldrin who is now retired was a crew member on Apollo 11.']",Buzz Aldrin is retired. He was part of the Apollo 11 mission.,0.12605968092174913,0.5157198014340871,1.0178861618041992
306,Company,4,"[{'object': 'Mass_Media', 'property': 'industry', 'subject': 'GMA_New_Media'}, {'object': 'Online_Game', 'property': 'product', 'subject': 'GMA_New_Media'}, {'object': 'Entertainment', 'property': 'industry', 'subject': 'GMA_New_Media'}, {'object': 'World_Wide_Web', 'property': 'product', 'subject': 'GMA_New_Media'}]","['GMA New Media offers services regarding the World Wide Web, including online games, as a mass media and entertainment industry company.', 'GMA New Media is in the mass media industry, whose main product is online games. It offers applications in the entertainment industry such as producing web services.', 'GMA New Media is an entertainment and mass media organization. They specialize in making games and web sites.']",GMA New Media operates in the mass media industry and the entertainment industry. It offers online games and products related to the World Wide Web.,0.20371083257043865,0.536691920588398,1.2268974781036377
307,Film,3,"[{'object': 'Lionsgate', 'property': 'distributor', 'subject': 'Super_Capers'}, {'object': 'Justin_Whalin', 'property': 'starring', 'subject': 'Super_Capers'}, {'object': '30955.0', 'property': 'gross', 'subject': 'Super_Capers'}]","['The film Super Capers, distributed by Lionsgate and starring Justin Whalin, grossed $30,955.', 'Super Capers, starring Justin Whalin, had a box office of $30,955. Lionsgate distributed the film.', '""Super Capers"", a movie distributed by Lionsgate, starred Justin Whalin made a gross income of $30,955.']","""Lionsgate"" is the distributor of the movie ""Super Capers"". The movie ""Super Capers"" stars ""Justin Whalin"". The gross revenue of the movie ""Super Capers"" is ""30955.0"".",0.022608914449138342,0.14705882352941174,1.7373168468475342
308,Athlete,3,"[{'object': '1989-02-24', 'property': 'birthDate', 'subject': 'Aleksandr_Prudnikov'}, {'object': 'FC_Spartak_Moscow', 'property': 'youthclub', 'subject': 'Aleksandr_Prudnikov'}, {'object': 'FC_Spartak_Moscow', 'property': 'club', 'subject': 'Aleksandr_Prudnikov'}]","[""Aleksandr Prudnikov was born on February 24, 1989. He played for FC Spartak Moscow's youth team and is now playing for FC Spartak Moscow."", 'Aleksandr Prudnikov born on 1989-02-24 plays for and is a member of FC Spartak Moscow.', 'Aleksandr Prudnikov was born on February 24, 1989. He plays for FC Spartak Moscow and previously played for the FC Spartak Moscow youth football club.']","Aleksandr Prudnikov was born on February 24, 1989. He was associated with FC Spartak Moscow as both his youth club and club.",0.4109087738294192,0.5764282501124606,1.535062313079834
309,University,3,"[{'object': 'Visvesvaraya_Technological_University', 'property': 'affiliation', 'subject': 'Acharya_Institute_of_Technology'}, {'object': 'Bangalore', 'property': 'city', 'subject': 'Acharya_Institute_of_Technology'}, {'object': '""B.M. Reddy""', 'property': 'president', 'subject': 'Acharya_Institute_of_Technology'}]","['Acharya Institute of Technology in Bangalore is affiliated to Visvesvaraya Technological University and its president is B.M. Reddy.', 'B. M. Reddy is the President of the Acharya Institute of Technology, which is affiliated with Visvesvaraya Technological University and located in Bangalore.', 'B. M. Reddy is the President of Acharya Institute of Technology, which is affiliated with the Visvesvaraya Technological University and located in Bangalore.']","Acharya Institute of Technology is affiliated with Visvesvaraya Technological University. It is located in Bangalore. The president of Acharya Institute of Technology is ""B.M. Reddy"".",0.34295479618200586,0.6136973180076628,1.7354168891906738
310,Building,5,"[{'object': 'Robert_A._M._Stern', 'property': 'architect', 'subject': 'Alan_B._Miller_Hall'}, {'object': '""101 Ukrop Way""', 'property': 'address', 'subject': 'Alan_B._Miller_Hall'}, {'object': 'Mason_School_of_Business', 'property': 'currentTenants', 'subject': 'Alan_B._Miller_Hall'}, {'object': '2009-06-01', 'property': 'completionDate', 'subject': 'Alan_B._Miller_Hall'}, {'object': 'United_States', 'property': 'country', 'subject': 'Mason_School_of_Business'}]","['Alan B. Miller Hall, at 101 Ukrop Way, was designed by Robert A.M. Stern and was completed on 01/06/2009. The building is in the USA and is currently occupied by The Mason School of Business.', 'Alan B. Miller Hall, located at 101 Ukrop Way, was designed by architect Robert A.M. Stern and was completed on June 1st, 2009. Its current tenant is the Mason School of Business, located in the United States.', 'The Mason School of Business (located in the United States) are the current tenants of Alan B Miller Hall. It was completed on 1 June 2009. The address is 101 Ukrop Way, and Robert A M Stern was its architect.']","Alan B. Miller Hall is an architectural structure designed by Robert A. M. Stern. It is located at ""101 Ukrop Way"". The current tenants of Alan B. Miller Hall include the Mason School of Business. The completion date of Alan B. Miller Hall is June 1, 2009. The Mason School of Business is located in the United States.",0.26186360597145636,0.5944347826086956,3.487039089202881
311,Astronaut,4,"[{'object': 'Zaoyang', 'property': 'birthPlace', 'subject': 'Nie_Haisheng'}, {'object': 'Xiangyang', 'property': 'isPartOf', 'subject': 'Zaoyang'}, {'object': 'Shenzhou_10', 'property': 'mission', 'subject': 'Nie_Haisheng'}, {'object': '2013-029A', 'property': 'cosparId', 'subject': 'Shenzhou_10'}]","['Nie Haisheng was born in Zaoyang, which is part of Xiangyang, and was part of the mission Shenzhou 10 whose COSPAR ID is 2013-029A.', 'The birth place of Nie Haisheng is Zaoyang, Xiangyang and he took part in the Shenzhou 10 mission which has the COSPAR ID of 2013-029A.', 'Nie Haisheng was born in Zaoyang, part of Xiangyang, and participated in the Shenzhou 10 mission, which had the COSPAR ID of 2013-029A.']",Nie Haisheng was born in Zaoyang. Zaoyang is a part of Xiangyang. Nie Haisheng was a part of the Shenzhou 10 mission. The COSPAR ID for Shenzhou 10 is 2013-029A.,0.2374249250059528,0.6689752082706012,2.03620719909668
312,MusicalWork,3,"[{'object': 'St._Louis,_Missouri', 'property': 'recordedIn', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'Ed_Lee_(politician)', 'property': 'leader', 'subject': 'San_Francisco'}, {'object': 'San_Francisco', 'property': 'recordedIn', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}]","['Bootleg Series Volume 1: The Quine Tapes was recorded in St. Louis, Missouri, and San Francisco, where Ed Lee is the political leader.', 'Bootleg Series Volume 1: The Quine tapes were recorded in St. Louis, Missouri and San Francisco, where politician Ed Lee resides.', 'The Bootleg Series Volume 1: The Quine Tapes were recorded in St. Louis Missouri but is now recorded in San Francisco, where Ed Lee is the political leader.']","The album ""Bootleg Series Volume 1: The Quine Tapes"" was recorded in St. Louis, Missouri and San Francisco. Ed Lee was a leader in San Francisco.",0.41097256347992434,0.625533934504034,1.532545566558838
313,CelestialBody,3,"[{'object': '418476000000.0', 'property': 'apoapsis', 'subject': '1147_Stavropolis'}, {'object': '1249.6', 'property': 'orbitalPeriod', 'subject': '1147_Stavropolis'}, {'object': '11.5', 'property': 'absoluteMagnitude', 'subject': '1147_Stavropolis'}]","['1147 Stavropolis has an absolute magnitude of 11.5. Its apoapsis is 418476000000.0 and the orbital period of the asteroid is 1249.6 days.', 'The absolute magnitude of 1147 Stavropolis is 11.5. The orbital period of the asteroid is 1249.6 days, and the apoapsis is 418476000000.0.', 'The asteroid 1147 Stavropolis has an apoapsis of 418476000000.0 AU, an orbital period of 1249.6, and an absolute magnitude of 11.5.']","The object 1147_Stavropolis has an apoapsis of 418476000000.0, an orbital period of 1249.6, and an absolute magnitude of 11.5.",0.6173915358983322,0.7666954627403846,1.6358880996704102
314,Astronaut,2,"[{'object': 'Shenzhou_6', 'property': 'mission', 'subject': 'Nie_Haisheng'}, {'object': '2005-040A', 'property': 'cosparId', 'subject': 'Shenzhou_6'}]","['Nie Haisheng took part in the Shenzhou 6 mission which had a COSPAR ID of 2005-040A.', 'Nie Haisheng took part in the Shenzhou 6 mission with COSPAR ID of Shenzhou 6 of 2005-040A.', 'Nie Haisheng was a crew member on Shenzhou 6 is the COSPAR ID is 2005-040A.']",Nie Haisheng was the subject of the Shenzhou 6 mission. The COSPAR ID for Shenzhou 6 is 2005-040A.,0.21468316165048362,0.6326797385620915,1.5349721908569336
315,Scientist,4,"[{'object': 'Carter_constant', 'property': 'knownFor', 'subject': 'Brandon_Carter'}, {'object': 'No-hair_theorem', 'property': 'knownFor', 'subject': 'Brandon_Carter'}, {'object': 'Dennis_William_Sciama', 'property': 'doctoralAdvisor', 'subject': 'Brandon_Carter'}, {'object': 'England', 'property': 'birthPlace', 'subject': 'Brandon_Carter'}]","['Brandon Carter (born in England) is known for the Carter constant as well as the No-hair theorem. His doctoral advisor is Dennis William Sciama.', 'Brandon Carter, who was born in England, is known for Carter Constant and his contributions to the no-hair theorem. His doctoral advisor was Dennis William Sciama .', ""English-born Brandon Carter is known for the invention of the Carter constant and the no-hair theorem. Carter's doctoral advisor was Dennis William Sciama.""]",Brandon Carter is known for the Carter constant and the No-hair theorem. He was advised by Dennis William Sciama and was born in England.,0.5416124426311165,0.6285714285714287,1.2182769775390625
316,Film,2,"[{'object': 'Justin_Whalin', 'property': 'starring', 'subject': 'Super_Capers'}, {'object': '98.0', 'property': 'runtime', 'subject': 'Super_Capers'}]","['Super Capers, a film that had a running time of 98 minutes, stars Justin Whalin.', 'The film Super Capers, which stars Justin Whalin, is 98 minutes long.', 'The film Super Capers, which is 98 minutes in duration, stars Justin Whalin.']",Justin Whalin stars in the movie Super Capers. The runtime of Super Capers is 98.0 minutes.,0.039779457777453786,0.22556390977443608,1.233802080154419
317,MusicalWork,1,"[{'object': 'Sony_Music_Entertainment', 'property': 'recordLabel', 'subject': 'Mermaid_(Train_song)'}]","['The song by Train called Mermaid is on the Sony Music Entertainment record label.', 'The Train song Mermaid had been released under the record label Sony Music Entertainment.', ""Train's hit Mermaid was put out by the Sony Music Entertainment record label.""]","The song ""Mermaid"" is released under the record label Sony Music Entertainment.",0.631692418729579,0.7148550724637681,0.9239182472229004
318,Artist,1,"[{'object': 'German_Papiermark', 'property': 'currency', 'subject': 'German_Empire'}]","['The currency of the German Empire is German Papiermark.', ""The German Empire's currency is the German Papiermark."", 'One of the currencies of the German Empire was the German Papiermark.']",The currency of the German Empire is the German Papiermark.,0.8891397050194614,0.9042192375525709,2.352367877960205
319,Film,4,"[{'object': 'Cyril_Bruce', 'property': 'director', 'subject': 'McVeagh_of_the_South_Seas'}, {'object': 'Harry_Carey_(actor_born_1878)', 'property': 'director', 'subject': 'McVeagh_of_the_South_Seas'}, {'object': 'Harry_Carey_(actor_born_1878)', 'property': 'starring', 'subject': 'McVeagh_of_the_South_Seas'}, {'object': 'Harry_Carey_(actor_born_1878)', 'property': 'writer', 'subject': 'McVeagh_of_the_South_Seas'}]","['The movie McVeagh of the South Seas was written and directed by Harry Carey and directed by Cyril Bruce. Carey was born in 1878.', 'Harry Carey was born in 1878 and was the actor, writer as well as director for the film McVeagh of the South Seas, which was co-directed Cyril Bruce.', 'Harry Carey was born in 1878. In addition to cowriting the film with Cyril Bruce, Harry Carey was an actor and writer of the film McVeagh of the South Seas.']","The movie ""McVeagh of the South Seas"" is directed by Cyril Bruce and Harry Carey (actor born 1878). It stars Harry Carey (actor born 1878) and the writer of the movie is also Harry Carey (actor born 1878).",0.10969400064633088,0.4175036156194762,1.7350516319274902
320,Athlete,4,"[{'object': '175.26', 'property': 'height', 'subject': 'Piotr_Hallmann'}, {'object': '70.308', 'property': 'weight', 'subject': 'Piotr_Hallmann'}, {'object': 'Gdynia,_Poland', 'property': 'birthPlace', 'subject': 'Piotr_Hallmann'}, {'object': '1987-08-25', 'property': 'birthDate', 'subject': 'Piotr_Hallmann'}]","['Piotr Hallmann, who was born in Gdynia, Poland on the 25th of August 1987, is 175.26 cm tall and weighs 70.308 kg.', 'Piotr Hallmann was born on August 25, 1987 in Gdynia Poland and his weight is 175.26 cm. His weight is 70.308 kilograms.', 'Piotr Hallmann, born on August 25, 1987 in Gdynia, Poland, weighs 70.308kg and stands 175.26 cm tall.']","Piotr Hallmann has a height of 175.26 cm and a weight of 70.308 kg. He was born on August 25, 1987 in Gdynia, Poland.",0.37605146135123524,0.6065275248634263,1.629488229751587
321,Film,1,"[{'object': 'HBO East, HBO West', 'property': 'timeshiftChannel', 'subject': 'HBO'}]","['HBO has different timeshift services, for example, HBO East and HBO West.', 'HBO East and HBO West are timeshift channels of HBO.', ""HBO's timeshift channel is divided into HBO East and HBO West.""]",HBO has timeshift channels called HBO East and HBO West.,0.5035337887555859,0.6600900423728814,0.8236370086669922
322,Company,3,"[{'object': 'King_of_Prussia,_Pennsylvania', 'property': 'city', 'subject': 'AmeriGas'}, {'object': 'Washington,_D.C.', 'property': 'capital', 'subject': 'United_States'}, {'object': 'United_States', 'property': 'country', 'subject': 'AmeriGas'}]","['Although the capital of the United States is Washington, D.C., AmeriGas chose to locate and actively work in King of Prussia, Pennsylvania.', 'AmeriGas is located in King of Prussia, Pennsylvania and works in the United States whose capital is Washington D.C..', 'Washington D.C, is the capital of the United States that is the home country to AmeriGas located in King of Prussia, Pennsylvania.']","AmeriGas is a company located in King of Prussia, Pennsylvania. The capital of the United States is Washington, D.C. AmeriGas operates in the country of the United States.",0.42184274819003564,0.5653883972468042,1.528672695159912
