category,modifiedtripleset,originaltripleset,lexicalisations,triplesetsize,id,prediction_lora-7b,execution_time_lora-7b
Artist,"[{'object': 'Karlsruhe', 'property': 'birthPlace', 'subject': 'Liselotte_Grschebina'}, {'object': '1908-05-02', 'property': 'birthDate', 'subject': 'Liselotte_Grschebina'}, {'object': '1994-06-14', 'property': 'deathDate', 'subject': 'Liselotte_Grschebina'}, {'object': 'Israel', 'property': 'deathPlace', 'subject': 'Liselotte_Grschebina'}, {'object': 'German_Empire', 'property': 'birthPlace', 'subject': 'Liselotte_Grschebina'}]","[[{'object': 'Karlsruhe', 'property': 'birthPlace', 'subject': 'Liselotte_Grschebina'}, {'object': '1908-05-02', 'property': 'birthDate', 'subject': 'Liselotte_Grschebina'}, {'object': '1994-06-14', 'property': 'deathDate', 'subject': 'Liselotte_Grschebina'}, {'object': 'Israel', 'property': 'deathPlace', 'subject': 'Liselotte_Grschebina'}, {'object': 'German_Empire', 'property': 'birthPlace', 'subject': 'Liselotte_Grschebina'}]]",[],5,210,"Output text: Liselotte Grschebina was born in Karlsruhe, German Empire on 2 May 1908. She died in Israel on 14 June 1994.",2.2495181560516357
Film,"[{'object': 'Cinemax', 'property': 'sisterStation', 'subject': 'HBO'}]","[[{'object': 'Cinemax', 'property': 'sisterStation', 'subject': 'HBO'}]]",[],1,211,Output text: HBO and Cinemax are sister stations.,0.9226212501525879
MusicalWork,"[{'object': 'United_States', 'property': 'recordedIn', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'English_language', 'property': 'language', 'subject': 'United_States'}, {'object': 'St._Louis,_Missouri', 'property': 'recordedIn', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}]","[[{'object': 'United_States', 'property': 'recordedIn', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'English_language', 'property': 'language', 'subject': 'United_States'}, {'object': 'St._Louis,_Missouri', 'property': 'recordedIn', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}]]",[],3,212,"Output text: The recording of Bootleg Series Volume 1: The Quine Tapes came from St. Louis, Missouri, in the United States, where English is the language spoken.",1.9347689151763916
Film,"[{'object': '89.0', 'property': 'runtime', 'subject': 'English_Without_Tears'}, {'object': 'Harold_French', 'property': 'director', 'subject': 'English_Without_Tears'}, {'object': 'Alan_Jaggs', 'property': 'editing', 'subject': 'English_Without_Tears'}, {'object': 'Anatole_de_Grunwald', 'property': 'producer', 'subject': 'English_Without_Tears'}]","[[{'object': '5340.0', 'property': 'runtime', 'subject': 'English_Without_Tears'}, {'object': 'Harold_French', 'property': 'director', 'subject': 'English_Without_Tears'}, {'object': 'Alan_Jaggs', 'property': 'editing', 'subject': 'English_Without_Tears'}, {'object': 'Anatole_de_Grunwald', 'property': 'producer', 'subject': 'English_Without_Tears'}]]",[],4,213,"Output text: English Without Tears, which is 89 minutes long, was directed by Harold French and edited by Alan Jaggs. It was produced by Anatole de Grunwald.",1.964367151260376
Scientist,"[{'object': '1776-02-18', 'property': 'deathDate', 'subject': 'Lady_Anne_Monson'}, {'object': 'Kingdom_of_England', 'property': 'nationality', 'subject': 'Lady_Anne_Monson'}, {'object': 'India', 'property': 'residence', 'subject': 'Lady_Anne_Monson'}, {'object': 'George_Monson', 'property': 'spouse', 'subject': 'Lady_Anne_Monson'}, {'object': 'Botany', 'property': 'professionalField', 'subject': 'Lady_Anne_Monson'}]","[[{'object': '1776-02-18', 'property': 'deathDate', 'subject': 'Lady_Anne_Monson'}, {'object': 'Kingdom_of_England', 'property': 'nationality', 'subject': 'Lady_Anne_Monson'}, {'object': 'India', 'property': 'residence', 'subject': 'Lady_Anne_Monson'}, {'object': 'George_Monson', 'property': 'spouse', 'subject': 'Lady_Anne_Monson'}, {'object': 'Botany', 'property': 'field', 'subject': 'Lady_Anne_Monson'}]]",[],5,214,Output text: Lady Anne Monson was a national of the Kingdom of England and was married to George Monson. She was a Botany expert and died on 1776-02-18. She lived in India.,2.547726631164551
CelestialBody,"[{'object': '1946-12-17', 'property': 'deathDate', 'subject': 'Grigory_Neujmin'}]","[[{'object': '1946-12-17', 'property': 'deathDate', 'subject': 'Grigory_Neujmin'}]]",[],1,215,Output text: Grigory Neujmin died on December 17th 1946.,1.3195528984069824
Film,"[{'object': 'Geof_Bartz', 'property': 'editor', 'subject': 'Death_on_a_Factory_Farm'}, {'object': '83.0', 'property': 'runtime', 'subject': 'Death_on_a_Factory_Farm'}, {'object': 'Tom_Simon', 'property': 'producer', 'subject': 'Death_on_a_Factory_Farm'}]","[[{'object': 'Geof_Bartz', 'property': 'editor', 'subject': 'Death_on_a_Factory_Farm'}, {'object': '83.0', 'property': 'runtime', 'subject': 'Death_on_a_Factory_Farm'}, {'object': 'Tom_Simon', 'property': 'producer', 'subject': 'Death_on_a_Factory_Farm'}]]",[],3,216,Output text: Death on a Farm was produced by Tom Simon and edited by Geof Bartz. It has a runtime of 83 minutes.,1.6378719806671143
MeanOfTransportation,"[{'object': '1997', 'property': 'productionStartYear', 'subject': 'Pontiac_Rageous'}, {'object': 'Pontiac', 'property': 'manufacturer', 'subject': 'Pontiac_Rageous'}, {'object': 'Michigan', 'property': 'assembly', 'subject': 'Pontiac_Rageous'}, {'object': '250493000000.0', 'property': 'areaTotal', 'subject': 'Michigan'}]","[[{'object': '1997-01-01', 'property': 'productionStartYear', 'subject': 'Pontiac_Rageous'}, {'object': 'Pontiac', 'property': 'manufacturer', 'subject': 'Pontiac_Rageous'}, {'object': 'Michigan', 'property': 'assembly', 'subject': 'Pontiac_Rageous'}, {'object': '250493000000.0', 'property': 'areaTotal', 'subject': 'Michigan'}]]",[],4,217,"Output text: The Pontiac Rageous was produced in 1997 and is assembled in Michigan which has a total area of 250,493,000,000.",2.2449939250946045
MusicalWork,"[{'object': 'Lucian_Grainge', 'property': 'keyPerson', 'subject': 'Universal_Music_Group'}]","[[{'object': 'Lucian_Grainge', 'property': 'keyPerson', 'subject': 'Universal_Music_Group'}]]",[],1,218,Output text: Lucian Grainge is a key person at Universal Music Group.,0.9707531929016113
Scientist,"[{'object': 'State_Award_for_Superior_Achievement', 'property': 'award', 'subject': 'Nurhan_Atasoy'}]","[[{'object': 'State_Award_for_Superior_Achievement', 'property': 'award', 'subject': 'Nurhan_Atasoy'}]]",[],1,219,Output text: Nurhan Atasoy won the State Award for Superior Achievement.,1.167801856994629
Film,"[{'object': 'Tom_Sizemore', 'property': 'starring', 'subject': 'Super_Capers'}, {'object': '1989-01-01', 'property': 'activeYearsStartYear', 'subject': 'Tom_Sizemore'}, {'object': 'Adam_West', 'property': 'starring', 'subject': 'Super_Capers'}]","[[{'object': 'Tom_Sizemore', 'property': 'starring', 'subject': 'Super_Capers'}, {'object': '1989-01-01', 'property': 'activeYearsEndYear', 'subject': 'Tom_Sizemore'}, {'object': 'Adam_West', 'property': 'starring', 'subject': 'Super_Capers'}]]",[],3,220,Output text: Adam West and Tom Sizemore star in Super Capers which began on 1 January 1989.,1.744103193283081
MusicalWork,"[{'object': 'The_Honeymoon_Killers_(American_band)', 'property': 'artist', 'subject': 'Turn_Me_On_(album)'}, {'object': 'The_Honeymoon_Killers_(American_band)', 'property': 'producer', 'subject': 'Turn_Me_On_(album)'}, {'object': 'Let_It_Breed', 'property': 'precededBy', 'subject': 'Turn_Me_On_(album)'}, {'object': '35.1', 'property': 'runtime', 'subject': 'Turn_Me_On_(album)'}]","[[{'object': 'The_Honeymoon_Killers_(American_band)', 'property': 'artist', 'subject': 'Turn_Me_On_(album)'}, {'object': 'The_Honeymoon_Killers_(American_band)', 'property': 'producer', 'subject': 'Turn_Me_On_(album)'}, {'object': 'Let_It_Breed', 'property': 'previousWork', 'subject': 'Turn_Me_On_(album)'}, {'object': '35.1', 'property': 'runtime', 'subject': 'Turn_Me_On_(album)'}]]",[],4,221,Output text: The Honeymoon Killers American band produced the album Turn Me On which is 35.1 minutes long and was preceded by Let It Breed.,1.934715986251831
Scientist,"[{'object': 'Andrzej_Piotr_Ruszczyński', 'property': 'influencedBy', 'subject': 'Darinka_Dentcheva'}, {'object': 'United_States', 'property': 'citizenship', 'subject': 'Darinka_Dentcheva'}, {'object': '1958-01-01', 'property': 'birthDate', 'subject': 'Darinka_Dentcheva'}, {'object': 'Mathematical_optimization', 'property': 'professionalField', 'subject': 'Darinka_Dentcheva'}, {'object': 'Stochastic_programming', 'property': 'knownFor', 'subject': 'Darinka_Dentcheva'}]","[[{'object': 'Andrzej_Piotr_Ruszczyński', 'property': 'influencedBy', 'subject': 'Darinka_Dentcheva'}, {'object': 'United_States', 'property': 'citizenship', 'subject': 'Darinka_Dentcheva'}, {'object': '1958-01-01', 'property': 'birthDate', 'subject': 'Darinka_Dentcheva'}, {'object': 'Mathematical_optimization', 'property': 'field', 'subject': 'Darinka_Dentcheva'}, {'object': 'Stochastic_programming', 'property': 'knownFor', 'subject': 'Darinka_Dentcheva'}]]",[],5,222,"Output text: Andrzej Piotr Ruszczyński is an influence on Darinka Dentcheva, who was born on January 1, 1958 in the United States. Darinka Dentcheva is a citizen of the United States and she is a mathematical optimizer and is known for Stochastic programming.",3.4855170249938965
Film,"[{'object': 'Stacy_Katzman', 'property': 'editing', 'subject': 'Super_Capers'}, {'object': 'Michael_Rooker', 'property': 'starring', 'subject': 'Super_Capers'}, {'object': 'English_language', 'property': 'language', 'subject': 'Super_Capers'}]","[[{'object': 'Stacy_Katzman', 'property': 'editing', 'subject': 'Super_Capers'}, {'object': 'Michael_Rooker', 'property': 'starring', 'subject': 'Super_Capers'}, {'object': 'English_language', 'property': 'language', 'subject': 'Super_Capers'}]]",[],3,223,"Output text: Super Capers, which is in English, starred Michael Rooker and was edited by Stacy Katzman.",1.5323877334594727
Artist,"[{'object': 'Reuven_Rivlin', 'property': 'leader', 'subject': 'Israel'}]","[[{'object': 'Reuven_Rivlin', 'property': 'leader', 'subject': 'Israel'}]]",[],1,224,Output text: Reuven Rivlin is the leader of Israel.,1.2216942310333252
Film,"[{'object': 'HBO', 'property': 'broadcastedBy', 'subject': 'Death_on_a_Factory_Farm'}]","[[{'object': 'HBO', 'property': 'network', 'subject': 'Death_on_a_Factory_Farm'}]]",[],1,225,Output text: Death on a Farm was broadcast by HBO.,0.9235138893127441
Film,"[{'object': 'Harry_Carey_(actor_born_1878)', 'property': 'director', 'subject': 'McVeagh_of_the_South_Seas'}, {'object': 'Alliance_Films_Corporation', 'property': 'distributor', 'subject': 'McVeagh_of_the_South_Seas'}, {'object': 'Gregory_Allen', 'property': 'director', 'subject': 'McVeagh_of_the_South_Seas'}]","[[{'object': 'Harry_Carey_(actor_born_1878)', 'property': 'director', 'subject': 'McVeagh_of_the_South_Seas'}, {'object': 'Alliance_Films_Corporation', 'property': 'distributor', 'subject': 'McVeagh_of_the_South_Seas'}, {'object': 'Gregory_Allen', 'property': 'director', 'subject': 'McVeagh_of_the_South_Seas'}]]",[],3,226,"Output text: McVeagh of the South Seas was directed by Gregory Allen and Harry Carey, who was born in 1878. It was distributed by Alliance Films Corporation.",2.0436038970947266
City,"[{'object': '1604.0', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}, {'object': '1147.0', 'property': 'elevationAboveTheSeaLevel', 'subject': 'Ciudad_Ayala'}]","[[{'object': '1604.0', 'property': 'populationDensity', 'subject': 'Ciudad_Ayala'}, {'object': '1147.0', 'property': 'elevation', 'subject': 'Ciudad_Ayala'}]]",[],2,227,Output text: Ciudad Ayala is 1147 metres above sea level and has a population density of 1604.,1.4960389137268066
MusicalWork,"[{'object': '54.56', 'property': 'runtime', 'subject': 'Expect_a_Miracle'}, {'object': 'Pools_of_Light_(Brian_Kelly_album)', 'property': 'precededBy', 'subject': 'Expect_a_Miracle'}, {'object': 'Instrumental_music', 'property': 'genre', 'subject': 'Expect_a_Miracle'}, {'object': 'Afterplay_(Brian_Kelly_album)', 'property': 'followedBy', 'subject': 'Expect_a_Miracle'}]","[[{'object': '54.56666666666667', 'property': 'runtime', 'subject': 'Expect_a_Miracle'}, {'object': 'Pools_of_Light_(Brian_Kelly_album)', 'property': 'previousWork', 'subject': 'Expect_a_Miracle'}, {'object': 'Instrumental_music', 'property': 'genre', 'subject': 'Expect_a_Miracle'}, {'object': 'Afterplay_(Brian_Kelly_album)', 'property': 'subsequentWork', 'subject': 'Expect_a_Miracle'}]]",[],4,228,"Output text: Expect a Miracle is an instrumental, is 54.56 minutes long and is preceded by Pools of Light and Afterplay.",1.7589879035949707
Athlete,"[{'object': '175.26', 'property': 'height', 'subject': 'Piotr_Hallmann'}, {'object': '70.308', 'property': 'weight', 'subject': 'Piotr_Hallmann'}, {'object': 'Gdynia,_Poland', 'property': 'birthPlace', 'subject': 'Piotr_Hallmann'}]","[[{'object': '175.26', 'property': 'height', 'subject': 'Piotr_Hallmann'}, {'object': '70.308', 'property': 'weight', 'subject': 'Piotr_Hallmann'}, {'object': 'Gdynia', 'property': 'birthPlace', 'subject': 'Piotr_Hallmann'}], [{'object': '175.26', 'property': 'height', 'subject': 'Piotr_Hallmann'}, {'object': '70.308', 'property': 'weight', 'subject': 'Piotr_Hallmann'}, {'object': 'Gdynia,_Poland', 'property': 'birthPlace', 'subject': 'Piotr_Hallmann'}]]",[],3,229,"Output text: Piotr Hallmann was born in Gdynia, Poland and is 175.26m tall and weighs 70.308kg.",2.0793519020080566
MusicalWork,"[{'object': 'The_Velvet_Underground', 'property': 'artist', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'The_Velvet_Underground', 'property': 'producer', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}]","[[{'object': 'The_Velvet_Underground', 'property': 'artist', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}, {'object': 'The_Velvet_Underground', 'property': 'producer', 'subject': 'Bootleg_Series_Volume_1:_The_Quine_Tapes'}]]",[],2,230,Output text: The Velvet Underground produced the Bootleg Series Volume 1: The Quine Tapes.,1.3030002117156982
Athlete,"[{'object': 'FC_Spartak_Moscow', 'property': 'youthclub', 'subject': 'Aleksandr_Prudnikov'}, {'object': 'FC_Spartak_Moscow', 'property': 'club', 'subject': 'Aleksandr_Prudnikov'}]","[[{'object': 'FC_Spartak_Moscow', 'property': 'youthclubs', 'subject': 'Aleksandr_Prudnikov'}, {'object': 'FC_Spartak_Moscow', 'property': 'team', 'subject': 'Aleksandr_Prudnikov'}], [{'object': 'FC_Spartak_Moscow', 'property': 'youthclubs', 'subject': 'Aleksandr_Prudnikov'}, {'object': 'FC_Spartak_Moscow', 'property': 'clubs', 'subject': 'Aleksandr_Prudnikov'}]]",[],2,231,Output text: Aleksandr Prudnikov played for FC Spartak Moscow's youth team.,1.1426258087158203
Film,"[{'object': 'Nicholas_Brodszky', 'property': 'musicComposer', 'subject': 'English_Without_Tears'}, {'object': 'Harold_French', 'property': 'director', 'subject': 'English_Without_Tears'}, {'object': 'Alan_Jaggs', 'property': 'editing', 'subject': 'English_Without_Tears'}, {'object': 'Anatole_de_Grunwald', 'property': 'producer', 'subject': 'English_Without_Tears'}]","[[{'object': 'Nicholas_Brodszky', 'property': 'musicComposer', 'subject': 'English_Without_Tears'}, {'object': 'Harold_French', 'property': 'director', 'subject': 'English_Without_Tears'}, {'object': 'Alan_Jaggs', 'property': 'editing', 'subject': 'English_Without_Tears'}, {'object': 'Anatole_de_Grunwald', 'property': 'producer', 'subject': 'English_Without_Tears'}]]",[],4,232,Output text: Nicholas Brodszky composed the music for English Without Tears which was directed by Harold French and edited by Alan Jaggs. The producer of English Without Tears was Anatole de Grunwald.,2.233978033065796
MusicalWork,"[{'object': 'Noise_rock', 'property': 'genre', 'subject': 'The_Honeymoon_Killers_(American_band)'}]","[[{'object': 'Noise_rock', 'property': 'genre', 'subject': 'The_Honeymoon_Killers_(American_band)'}]]",[],1,233,Output text: The Honeymoon Killers are an American band that play the genre of noise rock.,1.3269288539886475
ComicsCharacter,"[{'object': 'Broadcasting_House', 'property': 'city', 'subject': 'BBC'}, {'object': 'Bill_Oddie', 'property': 'starring', 'subject': 'Bananaman'}, {'object': 'Rochdale', 'property': 'birthPlace', 'subject': 'Bill_Oddie'}, {'object': 'BBC', 'property': 'broadcastedBy', 'subject': 'Bananaman'}, {'object': '""1983-10-03""', 'property': 'firstAired', 'subject': 'Bananaman'}]","[[{'object': 'Broadcasting_House', 'property': 'locationCity', 'subject': 'BBC'}, {'object': 'Bill_Oddie', 'property': 'starring', 'subject': 'Bananaman'}, {'object': 'Rochdale', 'property': 'birthPlace', 'subject': 'Bill_Oddie'}, {'object': 'BBC', 'property': 'network', 'subject': 'Bananaman'}, {'object': '""1983-10-03""^^xsd:date', 'property': 'firstAired', 'subject': 'Bananaman'}]]",[],5,234,"Output text: Bill Oddie, who was born in Rochdale, starred in Bananaman which was broadcast by the BBC. The series was first aired on 3 October 1983 and is broadcast from the Broadcasting House.",2.5862348079681396
MusicalWork,"[{'object': 'Brian_Kelly_(composer_&_pianist)', 'property': 'producer', 'subject': 'Expect_a_Miracle'}, {'object': '54.56', 'property': 'runtime', 'subject': 'Expect_a_Miracle'}, {'object': 'Brian_Kelly_(composer_&_pianist)', 'property': 'artist', 'subject': 'Expect_a_Miracle'}, {'object': 'Compilation_Album', 'property': 'type', 'subject': 'Expect_a_Miracle'}, {'object': 'Pools_of_Light_(Brian_Kelly_album)', 'property': 'precededBy', 'subject': 'Expect_a_Miracle'}, {'object': 'Instrumental_music', 'property': 'genre', 'subject': 'Expect_a_Miracle'}]","[[{'object': 'Brian_Kelly_(composer_&_pianist)', 'property': 'producer', 'subject': 'Expect_a_Miracle'}, {'object': '54.56666666666667', 'property': 'runtime', 'subject': 'Expect_a_Miracle'}, {'object': 'Brian_Kelly_(composer_&_pianist)', 'property': 'artist', 'subject': 'Expect_a_Miracle'}, {'object': 'Compilation_Album', 'property': 'type', 'subject': 'Expect_a_Miracle'}, {'object': 'Pools_of_Light_(Brian_Kelly_album)', 'property': 'previousWork', 'subject': 'Expect_a_Miracle'}, {'object': 'Instrumental_music', 'property': 'genre', 'subject': 'Expect_a_Miracle'}]]",[],6,235,"Output text: Expect a Miracle is an instrumental composition that is 54.56 in length. It was produced by Brian Kelly, a composer and pianist. The album is a compilation and was preceded by Pools of Light.",2.5275142192840576
Film,"[{'object': 'Harry_Carey_(actor_born_1878)', 'property': 'starring', 'subject': 'McVeagh_of_the_South_Seas'}, {'object': 'The_Progressive_Motion_Picture_Company', 'property': 'producer', 'subject': 'McVeagh_of_the_South_Seas'}, {'object': 'Cyril_Bruce', 'property': 'director', 'subject': 'McVeagh_of_the_South_Seas'}]","[[{'object': 'Harry_Carey_(actor_born_1878)', 'property': 'starring', 'subject': 'McVeagh_of_the_South_Seas'}, {'object': 'The_Progressive_Motion_Picture_Company', 'property': 'producer', 'subject': 'McVeagh_of_the_South_Seas'}, {'object': 'Cyril_Bruce', 'property': 'director', 'subject': 'McVeagh_of_the_South_Seas'}]]",[],3,236,"Output text: The Progressive Motion Picture Company produced the film McVeagh of the South Seas, which starred Harry Carey and was directed by Cyril Bruce.",1.9450349807739258
SportsTeam,"[{'object': 'Arapiraca', 'property': 'location', 'subject': 'Estádio_Municipal_Coaracy_da_Mata_Fonseca'}, {'object': 'Campeonato_Brasileiro_Série_C', 'property': 'league', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': '17000', 'property': 'numberOfMembers', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': 'Estádio_Municipal_Coaracy_da_Mata_Fonseca', 'property': 'ground', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': '""Agremiação Sportiva Arapiraquense""', 'property': 'fullName', 'subject': 'Agremiação_Sportiva_Arapiraquense'}]","[[{'object': 'Arapiraca', 'property': 'location', 'subject': 'Estádio_Municipal_Coaracy_da_Mata_Fonseca'}, {'object': 'Campeonato_Brasileiro_Série_C', 'property': 'league', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': '""17000""^^xsd:nonNegativeInteger', 'property': 'capacity', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': 'Estádio_Municipal_Coaracy_da_Mata_Fonseca', 'property': 'ground', 'subject': 'Agremiação_Sportiva_Arapiraquense'}, {'object': '""Agremiação Sportiva Arapiraquense""@en', 'property': 'fullname', 'subject': 'Agremiação_Sportiva_Arapiraquense'}]]",[],5,237,Output text: Agremiação Sportiva Arapiraquense play at the Estadio Municipal Coaracy da Mata Fonseca in Arapiraca. They have 17000 members and their full name is Agremiação Sportiva Arapiraquense.,2.9681222438812256
Building,"[{'object': 'Robert_A._M._Stern', 'property': 'architect', 'subject': 'Alan_B._Miller_Hall'}, {'object': '""101 Ukrop Way""', 'property': 'address', 'subject': 'Alan_B._Miller_Hall'}, {'object': '""30 March 2007""', 'property': 'buildingStartDate', 'subject': 'Alan_B._Miller_Hall'}, {'object': 'Mason_School_of_Business', 'property': 'currentTenants', 'subject': 'Alan_B._Miller_Hall'}, {'object': 'Virginia', 'property': 'location', 'subject': 'Alan_B._Miller_Hall'}, {'object': 'Georgian_architecture', 'property': 'architecturalStyle', 'subject': 'Alan_B._Miller_Hall'}, {'object': 'College_of_William_&_Mary', 'property': 'owner', 'subject': 'Alan_B._Miller_Hall'}]","[[{'object': 'Robert_A._M._Stern', 'property': 'architect', 'subject': 'Alan_B._Miller_Hall'}, {'object': '""101 Ukrop Way""@en', 'property': 'address', 'subject': 'Alan_B._Miller_Hall'}, {'object': '""2007-03-30""^^xsd:date', 'property': 'startDate', 'subject': 'Alan_B._Miller_Hall'}, {'object': 'Mason_School_of_Business', 'property': 'currentTenants', 'subject': 'Alan_B._Miller_Hall'}, {'object': 'Virginia', 'property': 'location', 'subject': 'Alan_B._Miller_Hall'}, {'object': 'Georgian_architecture', 'property': 'architecturalStyle', 'subject': 'Alan_B._Miller_Hall'}, {'object': 'College_of_William_&_Mary', 'property': 'owner', 'subject': 'Alan_B._Miller_Hall'}], [{'object': 'Robert_A._M._Stern', 'property': 'architect', 'subject': 'Alan_B._Miller_Hall'}, {'object': '""101 Ukrop Way""@en', 'property': 'address', 'subject': 'Alan_B._Miller_Hall'}, {'object': '""30 March 2007""', 'property': 'buildingStartDate', 'subject': 'Alan_B._Miller_Hall'}, {'object': 'Mason_School_of_Business', 'property': 'currentTenants', 'subject': 'Alan_B._Miller_Hall'}, {'object': 'Virginia', 'property': 'location', 'subject': 'Alan_B._Miller_Hall'}, {'object': 'Georgian_architecture', 'property': 'architecturalStyle', 'subject': 'Alan_B._Miller_Hall'}, {'object': 'College_of_William_&_Mary', 'property': 'owner', 'subject': 'Alan_B._Miller_Hall'}]]",[],7,238,"Output text: The Mason School of Business is currently the tenant of Alan B. Miller Hall, which is owned by the College of William and Mary. The building, designed in the Georgian style, was started on 30 March 2007 and is located in Virginia. The architect of the building is Robert A.M. Stern.",3.5803771018981934
CelestialBody,"[{'object': 'Grigory_Neujmin', 'property': 'discoverer', 'subject': '1147_Stavropolis'}, {'object': '418476000000.0', 'property': 'apoapsis', 'subject': '1147_Stavropolis'}, {'object': '20378.5', 'property': 'rotationPeriod', 'subject': '1147_Stavropolis'}, {'object': '260855000000.0', 'property': 'periapsis', 'subject': '1147_Stavropolis'}, {'object': '31 July 2016 (JD2457600.5)', 'property': 'epoch', 'subject': '1147_Stavropolis'}, {'object': '1249.6', 'property': 'orbitalPeriod', 'subject': '1147_Stavropolis'}]","[[{'object': 'Grigory_Neujmin', 'property': 'discoverer', 'subject': '1147_Stavropolis'}, {'object': '4.184758084281966E8', 'property': 'apoapsis', 'subject': '1147_Stavropolis'}, {'object': '20378.5', 'property': 'rotationPeriod', 'subject': '1147_Stavropolis'}, {'object': '2.608545551289435E8', 'property': 'periapsis', 'subject': '1147_Stavropolis'}, {'object': '31 July 2016 (JD2457600.5)', 'property': 'epoch', 'subject': '1147_Stavropolis'}, {'object': '107965000.0', 'property': 'orbitalPeriod', 'subject': '1147_Stavropolis'}]]",[],6,239,"Output text: Grigory Neujmin discovered 1147 Stavropolis which has an epoch date of 31 July 2016 JD2457600.5. It has an apoapsis of 418476000000.0, a periapsis of 260855000000.0 and an orbital period of 1249.6.",4.803964853286743
MusicalWork,"[{'object': 'Pop_rock', 'property': 'genre', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Ska', 'property': 'stylisticOrigin', 'subject': 'Reggae'}, {'object': 'Reggae', 'property': 'genre', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Rock_music', 'property': 'stylisticOrigin', 'subject': 'Pop_rock'}]","[[{'object': 'Pop_rock', 'property': 'genre', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Ska', 'property': 'stylisticOrigin', 'subject': 'Reggae'}, {'object': 'Reggae', 'property': 'genre', 'subject': 'Mermaid_(Train_song)'}, {'object': 'Rock_music', 'property': 'stylisticOrigin', 'subject': 'Pop_rock'}]]",[],4,240,Output text: The song Mermaid is a pop rock song and originates from the genre of reggae. Ska is the stylistic origin of reggae and rock music is the stylistic origin of pop rock.,2.352454900741577
Scientist,"[{'object': 'New_Jersey', 'property': 'residence', 'subject': 'Darinka_Dentcheva'}, {'object': 'Federalism', 'property': 'governmentType', 'subject': 'United_States'}, {'object': 'United_States', 'property': 'residence', 'subject': 'Darinka_Dentcheva'}]","[[{'object': 'New_Jersey', 'property': 'residence', 'subject': 'Darinka_Dentcheva'}, {'object': 'Federalism', 'property': 'governmentType', 'subject': 'United_States'}, {'object': 'United_States', 'property': 'residence', 'subject': 'Darinka_Dentcheva'}]]",[],3,241,"Output text: The United States has a Federalism government and is the residence of Darinka Dentcheva, who lives in New Jersey.",1.6347999572753906
Artist,"[{'object': 'Petah_Tikva', 'property': 'deathPlace', 'subject': 'Liselotte_Grschebina'}, {'object': 'Itzik_Braverman', 'property': 'leader', 'subject': 'Petah_Tikva'}]","[[{'object': 'Petah_Tikva', 'property': 'deathPlace', 'subject': 'Liselotte_Grschebina'}, {'object': 'Itzik_Braverman', 'property': 'leaderName', 'subject': 'Petah_Tikva'}]]",[],2,242,"Output text: Liselotte Grschebina died in Petah Tikva, where Itzik Braverman is the leader.",1.4773521423339844
Scientist,"[{'object': 'United_States', 'property': 'citizenship', 'subject': 'Darinka_Dentcheva'}, {'object': '""In God we trust""', 'property': 'motto', 'subject': 'United_States'}, {'object': 'Andrzej_Piotr_Ruszczyński', 'property': 'influencedBy', 'subject': 'Darinka_Dentcheva'}, {'object': 'Mathematical_optimization', 'property': 'professionalField', 'subject': 'Andrzej_Piotr_Ruszczyński'}]","[[{'object': 'United_States', 'property': 'citizenship', 'subject': 'Darinka_Dentcheva'}, {'object': '""In God we trust""', 'property': 'motto', 'subject': 'United_States'}, {'object': 'Andrzej_Piotr_Ruszczyński', 'property': 'influencedBy', 'subject': 'Darinka_Dentcheva'}, {'object': 'Mathematical_optimization', 'property': 'field', 'subject': 'Andrzej_Piotr_Ruszczyński'}]]",[],4,243,"Output text: Darinka Dentcheva is a citizen of the United States, where the motto is ""In God we trust"". Andrzej Piotr Ruszczyński, a mathematical optimiser, has influenced Darinka Dentcheva.",2.5969419479370117
